cep,logradouro,bairro,cidade,estado
54767-330,Rua São João Batista,Santa Mônica,Camaragibe,PE
65065-610,Rua Quatro,Turu,São Luís,MA
53150-060,Rua Maria do Carmo Vieira,Rio Doce,Olinda,PE
69910-350,indisponível,indisponível,indisponível,indisponível
31870-360,Rua Santa Úrsula,Ouro Minas,Belo Horizonte,MG
66630-247,Quadra K,Bengui,Belém,PA
69312-143,Rua Myro Bessa Lima,Jardim Floresta,Boa Vista,RR
79074-290,Rua José Ferreira da Cunha,Parque Residencial Iracy Coelho Netto,Campo Grande,MS
69315-255,Rua DI-V,Distr. Ind. Gov. Aquilino Mota Duarte,Boa Vista,RR
87112-567,Rua dos Estados,Jardim Castelo,Sarandi,PR
